id_servicio,id_cliente,id_tiempo,id_ubicacion,id_dispositivo,id_facturacion,id_promocion,id_soporte,id_consumo,duracion_llamada,costo_servicio,tipo_transaccion,ancho_banda,cantidad_datos_consumidos
4,694,1,6,5,26,1,4,3,36.95,48.25,TV,89.32,889.18
3,1770,22,10,4,17,4,3,3,37.2,6.78,llamada,91.07,608.86
2,314,15,7,4,6,5,2,1,8.03,87.46,llamada,62.39,616.46
1,1733,1,6,2,42,1,5,4,51.22,85.72,TV,14.93,613.12
1,1456,23,4,5,3,4,2,3,33.94,43.63,TV,49.35,589.31
3,1769,21,3,1,8,5,5,5,11.54,9.29,TV,14.85,993.83
1,818,12,5,2,35,5,1,4,13.93,71.3,llamada,38.66,31.63
4,522,5,4,4,20,4,3,4,59.17,91.74,internet,17.57,141.34
1,1630,16,7,5,42,3,3,2,3.79,56.85,llamada,90.29,211.95
3,1928,28,7,2,20,2,3,3,2.07,83.54,internet,73.89,414.94
4,10,2,10,4,13,2,3,2,12.3,10.99,TV,63.74,768.44
2,1374,22,3,5,45,4,2,2,21.72,38.1,llamada,27.05,364.09
3,460,28,7,4,9,4,2,2,52.83,13.05,TV,42.72,965.46
4,1299,23,8,4,18,2,3,4,55.2,28.93,TV,73.93,708.19
3,1796,4,5,4,6,3,2,5,8.05,36.89,internet,34.16,897.71
2,1293,13,2,1,33,2,2,5,13.0,93.44,llamada,80.31,409.22
4,419,9,5,2,13,5,4,2,33.53,19.64,llamada,63.68,371.35
1,374,2,6,2,34,4,2,5,7.99,50.06,internet,45.78,327.42
2,383,23,1,2,36,1,3,2,12.97,68.39,llamada,82.75,486.27
3,794,24,8,4,18,3,1,4,40.92,18.8,internet,29.68,996.61
5,1804,5,5,4,8,2,4,5,24.6,22.74,llamada,43.17,76.43
4,1423,11,8,4,27,5,1,5,51.78,41.33,internet,20.41,252.01
2,413,23,9,2,50,3,3,3,18.19,92.7,TV,43.02,111.58
5,215,12,7,5,12,2,5,2,43.88,91.93,internet,7.6,771.52
4,901,19,2,5,17,2,2,2,7.39,17.91,TV,9.81,804.96
1,30,19,7,3,28,4,4,3,47.54,74.99,TV,8.84,691.0
2,487,16,1,3,43,2,5,2,15.54,26.97,TV,9.23,525.57
2,83,1,3,5,24,3,4,5,50.73,85.04,internet,54.13,551.65
2,415,24,2,2,49,5,4,5,1.01,56.47,internet,2.78,374.25
1,1362,17,8,1,42,4,2,4,36.77,36.8,internet,89.01,966.07
3,444,26,4,3,32,5,5,2,27.72,55.23,llamada,8.89,928.15
4,400,3,1,2,12,3,2,1,40.48,50.79,internet,26.22,875.03
1,1309,16,7,3,22,2,4,2,14.57,49.66,TV,56.15,146.58
3,1591,17,1,1,15,1,3,2,21.5,46.43,internet,52.28,702.49
5,1330,19,2,2,13,2,5,5,43.97,45.22,TV,81.9,962.87
5,1775,12,10,4,45,2,4,1,57.28,33.31,llamada,54.52,888.41
3,192,29,5,5,27,2,1,5,46.31,46.56,TV,40.49,592.05
1,32,10,8,3,49,4,3,5,47.78,79.67,TV,33.78,651.71
2,797,3,4,1,21,3,3,1,53.41,28.47,llamada,91.96,18.79
5,560,3,10,1,26,2,5,3,15.96,40.68,internet,49.04,459.03
4,1636,9,8,2,42,1,2,1,35.73,78.09,TV,68.66,170.78
2,316,22,7,5,46,1,1,1,51.4,28.13,TV,81.19,25.41
4,847,29,2,2,4,2,5,5,39.68,16.7,TV,91.25,238.66
4,1076,18,5,4,30,1,1,3,19.49,89.11,internet,52.16,857.45
5,1738,30,3,3,2,5,1,1,32.68,95.37,llamada,69.79,459.17
3,1743,2,5,5,30,4,2,1,16.13,81.27,TV,78.38,816.14
2,445,23,3,3,15,4,1,2,58.28,28.94,TV,7.46,858.86
3,1058,3,6,4,14,4,3,1,37.37,95.88,internet,52.74,197.11
5,1387,24,7,2,40,2,5,3,52.79,84.59,llamada,60.98,517.35
4,1829,6,7,1,40,2,1,5,7.05,30.19,llamada,57.87,63.48
3,1289,22,7,2,9,5,1,2,38.29,57.7,TV,78.46,74.35
1,731,15,5,2,25,4,3,1,23.6,67.42,TV,96.2,592.82
3,388,5,3,4,48,1,1,1,1.38,65.95,llamada,76.06,903.47
4,221,24,9,4,6,4,3,3,15.46,8.71,internet,53.47,816.45
1,553,10,4,3,42,3,4,4,5.73,65.21,TV,85.58,827.5
2,1771,5,6,1,30,1,1,5,53.42,44.71,internet,69.32,754.2
1,1789,3,7,4,10,1,5,5,26.5,31.69,TV,19.23,743.09
2,1127,13,5,5,18,5,4,2,27.03,52.21,internet,1.62,329.5
2,1089,14,7,3,32,5,3,5,43.05,84.58,internet,11.54,778.5
4,189,26,2,4,30,1,3,3,2.56,17.96,llamada,88.27,790.46
2,970,7,8,1,5,1,1,2,54.51,97.15,llamada,95.93,512.36
4,521,27,3,4,2,2,4,2,44.65,8.62,TV,92.08,519.83
5,174,18,6,1,42,5,1,5,48.84,43.25,TV,83.14,137.19
2,636,15,10,2,36,4,4,5,13.83,96.73,internet,41.45,601.81
4,1607,13,10,1,7,3,1,4,16.64,40.41,llamada,34.16,437.44
2,43,14,9,5,44,4,3,1,19.39,84.47,TV,55.24,572.33
1,756,22,3,4,27,1,2,5,32.9,44.92,llamada,60.65,690.57
5,853,18,3,3,39,3,1,5,39.19,39.19,internet,43.48,648.67
2,1001,21,8,3,42,3,4,4,22.42,49.45,internet,24.43,279.63
1,1693,17,3,2,18,1,4,5,39.47,57.56,internet,29.92,63.17
1,472,7,1,5,20,1,3,3,26.73,22.28,TV,61.57,407.43
1,761,17,1,3,47,3,3,5,14.91,75.55,llamada,24.02,163.59
2,120,25,1,4,8,2,4,5,33.52,60.11,llamada,80.44,929.88
1,795,20,3,2,42,5,2,5,10.19,48.08,llamada,73.57,692.68
3,1902,11,9,1,33,1,2,5,6.36,47.23,TV,65.51,263.82
4,821,18,7,2,39,5,4,3,40.18,14.12,llamada,90.56,477.57
1,1978,14,2,5,20,3,5,2,25.25,22.78,internet,2.52,823.24
1,350,4,6,5,1,5,3,3,59.08,74.68,internet,75.12,621.57
1,288,25,9,4,17,3,5,1,23.79,43.5,internet,41.49,83.47
1,1726,3,5,4,34,5,3,1,41.67,55.49,TV,33.54,257.21
5,989,16,8,4,23,1,1,4,6.82,84.14,llamada,46.74,229.76
4,1279,28,3,5,3,5,4,1,51.82,23.0,TV,59.57,345.07
2,264,21,2,3,37,3,2,4,16.34,25.08,llamada,25.97,606.47
3,1867,9,9,1,20,4,5,5,48.12,97.97,TV,23.68,741.66
1,1919,16,9,5,20,2,4,1,28.17,29.78,llamada,60.0,961.63
1,210,4,7,3,49,3,5,3,10.93,14.36,llamada,32.81,561.1
5,1564,22,6,3,27,2,4,4,58.69,55.59,internet,34.75,112.45
5,1987,1,6,5,4,3,4,2,29.93,44.44,llamada,32.21,939.91
1,293,14,4,1,30,2,3,3,59.82,71.79,llamada,85.66,303.37
4,1917,7,3,5,16,2,1,1,18.83,66.28,TV,68.24,446.67
2,853,19,4,1,43,3,3,4,40.73,36.6,internet,89.36,401.98
4,1283,26,5,4,2,3,3,2,42.3,75.73,internet,78.28,237.05
1,1886,8,10,4,41,2,1,5,35.97,57.22,TV,89.61,866.9
5,1553,14,6,2,18,1,5,3,49.57,19.52,internet,30.02,672.79
2,675,22,7,2,46,4,2,2,2.06,23.6,TV,65.36,155.84
2,1911,24,9,3,39,5,5,4,3.09,18.27,llamada,74.92,546.88
5,251,14,6,4,42,3,2,1,47.38,37.46,TV,24.34,182.39
4,121,7,9,3,39,2,4,2,57.45,22.13,llamada,32.39,90.56
5,579,26,2,4,2,5,4,5,12.26,32.17,internet,87.68,775.32
5,155,23,9,2,45,1,3,1,14.08,99.24,llamada,60.32,752.65
5,1733,4,5,3,15,3,5,5,9.18,22.72,llamada,21.28,992.44
5,1689,13,7,4,39,2,1,5,16.02,89.25,internet,85.41,248.32
5,1781,11,5,4,46,4,2,1,42.29,48.63,TV,43.59,64.87
1,993,20,5,1,17,4,3,3,48.07,29.09,llamada,45.6,93.72
1,1304,19,8,2,7,4,1,3,59.47,50.11,internet,94.31,321.27
5,790,12,10,4,48,1,5,2,10.57,86.6,internet,25.93,862.7
4,1419,2,3,1,19,3,2,2,23.28,55.28,TV,91.09,34.67
1,1769,21,1,3,22,1,2,4,1.47,76.15,llamada,12.28,219.6
2,129,5,8,1,43,4,4,4,46.99,26.24,TV,6.7,170.8
2,1129,21,10,4,38,5,1,3,12.26,55.13,TV,53.49,665.62
3,1224,19,8,2,48,5,4,5,20.82,95.64,TV,96.56,491.24
5,1286,6,3,5,25,1,2,2,14.74,36.5,llamada,16.07,687.92
2,368,21,1,4,9,2,2,1,6.68,6.96,internet,74.68,511.09
1,1913,5,7,5,22,1,3,3,22.82,81.54,TV,43.43,404.5
4,1062,25,7,4,33,5,4,3,42.91,38.5,llamada,67.31,901.88
1,837,1,5,2,34,2,4,5,28.99,96.49,internet,27.63,224.51
3,749,10,2,4,38,1,4,3,31.58,47.2,internet,98.01,746.39
4,1962,30,9,5,21,5,5,2,7.66,89.87,TV,78.29,577.29
2,429,30,6,4,36,3,4,2,34.59,38.0,TV,78.72,91.09
1,1105,10,2,2,50,1,3,4,13.76,53.21,internet,21.83,646.67
4,1526,19,5,4,26,5,2,2,40.39,79.47,internet,52.74,199.15
5,1115,6,4,2,21,5,1,5,51.94,42.79,TV,75.98,624.01
5,1620,26,4,1,16,3,4,1,26.65,78.05,llamada,14.01,977.28
5,1866,3,1,4,38,1,3,4,33.22,56.83,internet,9.73,186.95
5,228,8,7,2,27,2,3,4,10.06,48.83,internet,45.99,443.24
2,84,24,6,4,41,2,2,4,14.07,16.51,internet,65.75,650.52
1,1908,9,10,3,41,1,1,5,54.9,71.37,TV,78.85,67.58
3,943,18,3,1,4,1,5,2,59.3,51.51,llamada,75.28,203.7
4,392,22,3,4,9,2,2,3,49.91,30.28,TV,73.62,89.11
1,1051,22,8,5,11,2,5,5,54.83,42.75,TV,61.67,816.3
3,1948,8,8,2,43,4,4,2,55.7,39.5,llamada,8.63,454.4
4,166,25,3,5,48,2,3,1,24.39,45.73,TV,70.89,129.48
4,562,9,9,4,35,4,2,3,56.13,47.76,llamada,9.12,747.58
3,396,21,6,5,26,3,5,3,11.9,48.74,TV,90.39,874.84
3,36,9,10,5,21,3,3,4,56.26,39.05,llamada,50.04,18.56
3,1239,3,6,4,22,1,1,5,29.06,98.86,TV,13.71,767.28
2,1206,11,7,2,16,4,2,3,35.09,44.75,TV,52.21,47.37
2,1909,5,4,1,33,1,4,3,33.09,66.76,TV,17.29,737.9
4,53,26,4,3,4,1,2,4,17.65,56.08,internet,45.45,91.7
4,105,8,3,3,31,2,3,2,30.08,88.78,TV,95.48,358.43
3,1692,24,2,1,18,5,3,4,41.36,56.69,TV,20.75,690.47
2,1478,23,8,3,46,1,4,5,33.96,17.84,internet,54.47,527.49
3,783,21,6,5,20,2,4,1,29.84,28.16,internet,50.56,658.94
5,796,4,7,2,16,2,1,4,51.76,6.34,internet,30.51,592.45
3,80,7,7,1,35,4,3,3,48.73,20.62,internet,8.58,864.12
1,15,7,1,2,45,1,4,5,56.29,71.24,llamada,90.87,548.18
2,355,29,5,2,42,1,1,5,25.84,12.06,internet,40.0,934.67
2,1304,11,3,2,21,4,4,2,47.35,91.39,internet,31.46,69.55
5,570,2,7,4,12,5,4,5,37.28,21.68,internet,29.8,771.51
2,571,28,4,4,35,2,5,5,43.91,47.71,llamada,13.02,1.56
2,1651,12,5,3,30,1,3,1,11.21,8.05,llamada,2.83,683.44
5,1786,21,6,3,11,4,4,4,10.3,98.65,internet,50.75,133.04
3,898,27,8,5,1,1,1,4,56.34,43.86,llamada,62.12,923.57
5,1047,18,10,3,30,3,5,5,22.37,34.03,llamada,64.31,558.12
2,1069,30,3,3,45,1,2,1,44.53,89.43,TV,38.37,166.31
3,1060,11,4,4,21,4,1,2,52.52,77.24,internet,53.45,605.15
1,344,2,1,4,14,2,2,4,31.28,87.0,llamada,21.84,875.99
1,463,8,7,5,28,1,2,1,55.21,11.38,llamada,57.68,538.59
3,924,24,10,3,19,4,1,5,33.8,89.42,TV,48.44,791.59
2,1066,11,3,1,20,2,5,2,7.02,25.96,internet,95.44,802.67
3,1780,10,3,3,39,5,2,3,45.37,7.87,TV,96.88,562.16
3,1879,30,4,3,3,2,5,3,4.33,15.65,TV,20.68,144.26
4,306,24,6,2,35,1,5,2,7.41,45.13,TV,60.29,23.03
3,1570,20,6,1,27,4,5,1,43.92,39.77,llamada,25.18,669.1
3,415,5,5,1,6,5,4,1,51.08,49.85,TV,50.53,247.78
3,271,30,2,5,45,5,2,2,24.16,73.78,TV,5.64,948.98
5,908,6,4,1,19,1,4,1,24.08,37.68,internet,93.0,326.0
2,1359,18,8,2,10,2,2,3,9.9,51.34,internet,23.24,671.44
2,1929,5,2,4,1,2,2,3,25.67,15.17,TV,2.44,14.48
1,656,8,9,4,41,4,1,3,25.61,50.02,llamada,70.87,509.09
2,75,25,10,3,48,3,5,3,59.74,57.86,llamada,45.1,939.1
4,594,30,2,4,29,3,5,3,11.22,96.89,TV,22.63,387.32
2,1342,30,7,1,12,3,1,3,41.97,28.23,TV,64.84,209.32
1,1352,14,9,5,17,3,5,2,25.03,16.53,internet,7.45,707.52
5,1102,13,2,3,34,3,1,1,32.84,34.18,llamada,67.21,624.24
3,1902,14,4,4,20,5,1,5,22.33,48.49,TV,59.0,797.99
4,1786,20,2,2,13,5,1,5,32.74,99.53,TV,83.08,558.37
4,979,20,10,4,49,4,2,3,28.94,68.09,llamada,76.09,223.36
5,1767,9,7,5,3,2,2,3,55.95,23.35,TV,44.26,786.27
1,584,25,3,5,48,4,2,1,58.07,86.81,TV,29.03,41.56
1,1282,12,2,3,12,3,3,1,26.46,70.02,TV,20.1,635.45
1,1012,5,5,4,6,2,4,5,43.78,31.77,TV,13.59,642.53
2,804,12,9,2,11,2,2,1,24.49,83.26,TV,4.55,306.79
1,623,19,8,5,24,4,4,2,26.22,26.16,TV,12.78,363.98
2,1201,15,1,1,17,3,5,2,36.85,65.91,llamada,37.39,128.9
2,910,26,8,1,23,3,2,5,36.33,93.54,llamada,40.22,92.61
5,105,2,8,1,4,1,5,2,34.5,30.99,TV,87.16,356.89
4,952,24,5,2,35,5,4,2,18.47,21.88,llamada,39.1,240.82
2,1259,4,1,1,36,2,2,5,42.3,22.74,TV,90.83,929.78
4,1661,6,1,4,50,2,2,2,5.24,32.26,llamada,17.73,515.47
5,348,7,7,2,27,1,5,5,12.52,19.34,internet,11.46,177.27
5,1965,3,7,1,17,1,5,4,57.78,96.41,TV,32.61,791.65
4,1508,14,3,5,12,4,1,1,51.04,53.87,TV,75.12,966.95
4,434,20,9,4,6,1,5,2,53.62,57.9,llamada,50.43,137.95
5,823,18,3,5,29,4,4,1,45.63,36.92,TV,71.04,395.14
1,1198,22,4,5,9,5,2,2,45.07,13.01,TV,77.2,734.36
2,1047,24,10,3,48,3,4,3,14.9,85.99,llamada,93.0,639.84
5,957,23,1,1,48,3,2,3,12.56,18.76,TV,93.77,233.73
4,701,23,6,4,15,3,2,4,33.81,95.01,internet,54.11,853.16
3,1957,29,8,4,40,3,3,5,58.52,5.78,internet,3.48,491.13
3,1300,4,6,1,15,4,2,4,38.96,70.46,internet,64.21,203.31
3,1297,2,6,4,46,3,4,4,59.43,70.75,llamada,24.38,617.43
4,561,11,5,2,41,5,5,1,50.31,73.19,TV,80.89,630.88
3,1837,9,2,5,26,5,2,3,32.4,85.22,internet,96.28,132.7
3,1089,26,1,4,6,5,1,5,20.41,35.27,TV,96.44,925.9
4,1080,12,9,5,20,4,3,4,25.34,80.95,internet,46.85,653.94
1,722,19,8,3,17,4,5,1,15.62,77.56,internet,42.25,208.65
2,28,3,10,4,27,4,2,1,3.02,47.42,llamada,26.88,607.34
2,1484,23,10,4,24,4,5,2,55.97,95.01,llamada,10.04,390.91
4,1496,26,3,4,49,1,3,4,46.31,77.26,llamada,78.34,846.01
3,1939,15,9,4,40,2,5,5,38.44,95.31,TV,39.75,241.15
3,1235,26,10,5,19,4,5,3,9.01,70.02,TV,28.57,467.33
4,109,17,4,5,44,2,2,4,7.27,69.56,TV,88.75,761.94
4,377,17,2,3,22,3,4,2,46.39,46.81,TV,93.42,857.58
4,888,28,5,1,49,4,5,2,38.68,42.74,TV,24.55,718.57
3,290,5,9,2,5,5,2,4,12.6,75.44,llamada,29.52,57.87
4,1261,24,4,3,10,4,5,5,37.31,16.25,llamada,62.68,497.88
2,156,20,10,5,12,3,3,5,25.38,85.01,internet,70.7,848.76
1,455,18,8,5,28,5,5,1,28.95,36.47,TV,22.73,564.99
4,726,6,7,3,30,5,5,3,7.22,5.89,internet,79.62,790.88
4,1176,3,6,3,26,5,2,3,53.34,36.98,TV,20.91,553.39
2,1001,6,9,5,1,5,4,2,58.43,47.99,TV,37.4,332.12
3,566,3,2,1,31,1,3,5,30.87,10.89,internet,98.68,736.43
3,419,24,4,4,14,2,3,1,51.88,92.96,TV,49.97,964.53
2,220,25,8,2,47,2,2,1,52.02,65.1,internet,74.45,12.84
3,1515,19,9,3,42,4,3,1,31.06,12.99,llamada,17.95,542.83
1,1347,15,9,4,41,4,3,5,50.95,51.57,TV,46.8,287.27
5,1162,15,10,3,10,5,3,3,39.49,54.32,llamada,2.97,822.15
1,530,16,8,2,41,1,1,3,11.93,30.17,TV,59.12,884.18
5,232,13,2,3,12,4,5,3,23.39,85.2,internet,25.09,203.65
5,167,6,3,3,28,1,1,4,11.78,93.6,internet,60.96,136.17
2,812,27,1,3,9,2,4,3,28.52,36.62,TV,48.22,584.58
3,182,30,10,3,31,3,2,4,24.75,25.21,internet,23.91,836.34
4,1237,21,7,2,24,2,5,3,54.4,99.58,internet,96.79,798.0
3,400,3,6,3,25,3,1,4,45.6,76.37,internet,68.98,683.75
4,1843,13,9,5,33,2,4,5,4.3,83.87,internet,66.23,504.03
3,418,13,2,1,3,1,4,4,11.88,24.3,internet,42.85,147.91
2,372,17,4,4,27,2,2,2,43.32,29.19,TV,15.07,128.3
1,1699,12,2,4,29,1,5,4,49.99,15.22,llamada,42.66,461.92
4,870,30,4,4,29,3,2,3,54.52,12.13,llamada,5.49,965.27
5,1973,12,4,1,27,3,1,2,27.46,51.84,internet,6.52,523.2
1,1619,20,2,4,3,2,1,2,30.8,99.2,internet,75.99,112.2
